platformId,postUrl
1690986594304040_5357520600983936,https://www.facebook.com/groups/1690986594304040/permalink/5357520600983936
245521443383890_807564970512865,https://www.facebook.com/groups/245521443383890/permalink/807564970512865
188088891305021_5560504260730097,https://www.facebook.com/groups/188088891305021/permalink/5560504260730097
611338629409461_1255784301631554,https://www.facebook.com/groups/611338629409461/permalink/1255784301631554
100057602037146_573569304573132,https://www.facebook.com/100057602037146/posts/573569304573132
427318367348002_5600706566675797,https://www.facebook.com/427318367348002/posts/5600706566675797
265446903552231_5371534916276712,https://www.facebook.com/groups/265446903552231/permalink/5371534916276712
100064850284691_476833887821617,https://www.facebook.com/100064850284691/posts/476833887821617
265446903552231_5371534789610058,https://www.facebook.com/groups/265446903552231/permalink/5371534789610058
803033339758232_5800741529987363,https://www.facebook.com/groups/803033339758232/permalink/5800741529987363
132167820254295_2533280293476357,https://www.facebook.com/groups/132167820254295/permalink/2533280293476357
100063568481223_537516735043938,https://www.facebook.com/100063568481223/posts/537516735043938
133110610796829_1301148377326374,https://www.facebook.com/groups/133110610796829/permalink/1301148377326374
2011789849056532_3411230579112445,https://www.facebook.com/groups/2011789849056532/permalink/3411230579112445
962717927142636_5505021949578855,https://www.facebook.com/groups/962717927142636/permalink/5505021949578855
901936523180700_8130739203633693,https://www.facebook.com/groups/901936523180700/permalink/8130739203633693
38176539354_10159380973354355,https://www.facebook.com/groups/38176539354/permalink/10159380973354355
444238635618463_8221357521239830,https://www.facebook.com/444238635618463/posts/8221357521239830
162438225022_10166663245705023,https://www.facebook.com/162438225022/posts/10166663245705023
340827370406077_848205649668244,https://www.facebook.com/groups/340827370406077/permalink/848205649668244
692472277454758_5485923798109558,https://www.facebook.com/groups/692472277454758/permalink/5485923798109558
100069714609573_401401802193637,https://www.facebook.com/100069714609573/posts/401401802193637
100064794220432_475712381265232,https://www.facebook.com/100064794220432/posts/475712381265232
796850007173562_2000919966766554,https://www.facebook.com/groups/796850007173562/permalink/2000919966766554
288748918331218_1283212442218189,https://www.facebook.com/288748918331218/posts/1283212442218189
1055048834632250_2703061573164293,https://www.facebook.com/groups/1055048834632250/permalink/2703061573164293
100051253663138_637931354591981,https://www.facebook.com/100051253663138/posts/637931354591981
128343117235126_5628036300599086,https://www.facebook.com/groups/128343117235126/permalink/5628036300599086
263865840728628_1530487914066408,https://www.facebook.com/groups/263865840728628/permalink/1530487914066408
142259392505088_5700761639988141,https://www.facebook.com/groups/142259392505088/permalink/5700761639988141
100063486012418_570821558377373,https://www.facebook.com/100063486012418/posts/570821558377373
282276232711560_1151649449107563,https://www.facebook.com/groups/282276232711560/permalink/1151649449107563
1349411328510087_5545260242258487,https://www.facebook.com/groups/1349411328510087/permalink/5545260242258487
2704942462948369_5304632696312653,https://www.facebook.com/groups/2704942462948369/permalink/5304632696312653
962717927142636_5505020879578962,https://www.facebook.com/groups/962717927142636/permalink/5505020879578962
121603354667447_2129095297251566,https://www.facebook.com/groups/121603354667447/permalink/2129095297251566
129264680492754_1202231056990864,https://www.facebook.com/129264680492754/posts/1202231056990864
705926906240269_2324016707764606,https://www.facebook.com/groups/705926906240269/permalink/2324016707764606
435366937229151_1266951244070712,https://www.facebook.com/groups/435366937229151/permalink/1266951244070712
100041564062130_778786293516832,https://www.facebook.com/100041564062130/posts/778786293516832
1486053814974994_3322637384649952,https://www.facebook.com/groups/1486053814974994/permalink/3322637384649952
113372035499676_1880112622158933,https://www.facebook.com/groups/113372035499676/permalink/1880112622158933
105928237716388_647034593605747,https://www.facebook.com/105928237716388/posts/647034593605747
1295177487601453_1548275272291672,https://www.facebook.com/groups/1295177487601453/permalink/1548275272291672
1461726493854068_6336772266349442,https://www.facebook.com/groups/1461726493854068/permalink/6336772266349442
100064541565931_463331502494898,https://www.facebook.com/100064541565931/posts/463331502494898
