Name,Twitter-Handle,Party,Gender
De Bertoldi Andrea,AdeBertoldi,Fratelli d'Italia,M
De Corato Riccardo,R_De_Corato,Fratelli d'Italia,M
Deidda Salvatore,deidda,Fratelli d'Italia,M
Delmastro Delle Vedove Andrea,DelmastroAndrea,Fratelli d'Italia,M
Di Giuseppe Andrea,adg_iovoto,Fratelli d'Italia,M
Di Maggio Grazia,-----,Fratelli d'Italia,F
Dondi Daniela,daniela_dondi,Fratelli d'Italia,F
Donzelli Giovanni,Donzelli,Fratelli d'Italia,M
Ferro Wanda,wandaferro1,Fratelli d'Italia,F
Filini Francesco,FrancescoFilini,Fratelli d'Italia,M
Fitto Raffaele,RaffaeleFitto,Fratelli d'Italia,M
Foti Tommaso,TommasoFoti,Fratelli d'Italia,M
Frassinetti Paola,FrassinettiP,Fratelli d'Italia,F
Frijia Maria Grazia,MariaFrijia,Fratelli d'Italia,F
Gardini Elisabetta,EGardini,Fratelli d'Italia,F
Gemmato Marcello,marcellogemmato,Fratelli d'Italia,M
Giordano Antonio,-----,Fratelli d'Italia,M
Giorgianni Carmen Letizia,let_giorgianni,Fratelli d'Italia,F
Giovine Silvio,silviogiovine,Fratelli d'Italia,M
Iaia Dario,dario123iaia,Fratelli d'Italia,M
Kelany Sara,SaraKelany_,Fratelli d'Italia,F
La Porta Chiara,ChiaraLaPorta,Fratelli d'Italia,F
La Salandra Giandonato,-----,Fratelli d'Italia,M
Lampis Gianni,Gianni_Lampis,Fratelli d'Italia,M
Lancellotta Elisabetta Christiana,-----,Fratelli d'Italia,F
Leo Maurizio,MaurizioLeo6,Fratelli d'Italia,M
Lollobrigida Francesco,FrancescoLollo1,Fratelli d'Italia,M
Longi Eliana,elianalongi,Fratelli d'Italia,F
Loperfido Emanuele,LopezPn,Fratelli d'Italia,M
Lucaselli Ylenja,ylucaselli,Fratelli d'Italia,F
Maccari Carlo,CarloMaccari,Fratelli d'Italia,M
Maerna Novo Umberto,UmbertoMaerna,Fratelli d'Italia,M
Maiorano Luigi Giovanni,-----,Fratelli d'Italia,M
Malagola Lorenzo,-----,Fratelli d'Italia,M
Malaguti Mauro,mmalaguti1,Fratelli d'Italia,M
Mantovani Lucrezia Maria Benedetta,mantovaniLu,Fratelli d'Italia,F
Marchetto Marina,-----,Fratelli d'Italia,F
Mascaretti Andrea,ndreamascaretti,Fratelli d'Italia,M
Maschio Ciro,CiroMaschio,Fratelli d'Italia,M
Matera Mariangela,-----,Fratelli d'Italia,F
Matteoni Nicole,NickyMatteoni,Fratelli d'Italia,F
Mattia Aldo,-----,Fratelli d'Italia,M
Maullu Stefano Giovanni,stefanomaullu,Fratelli d'Italia,M
Mazzi Gianmarco,gianmarco_mazzi,Fratelli d'Italia,M
Meloni Giorgia,GiorgiaMeloni,Fratelli d'Italia,F
Messina Manlio,ManlioMessina,Fratelli d'Italia,M
Michelotti Francesco,MichelottiF,Fratelli d'Italia,M
Milani Massimo,-----,Fratelli d'Italia,M
Mollicone Federico,fmollicone,Fratelli d'Italia,M
Montaruli Augusta,augustamontarul,Fratelli d'Italia,F
Morgante Maddalena,-----,Fratelli d'Italia,F
Mura Francesco,geometramura,Fratelli d'Italia,M
Nordio Carlo,-----,Fratelli d'Italia,M
Osnato Marco,MarcoOsnato,Fratelli d'Italia,M
Padovani Marco,-----,Fratelli d'Italia,M
Palombi Alessandro,AvvPalombi,Fratelli d'Italia,M
Pellicini Andrea,-----,Fratelli d'Italia,M
Perissa Marco,MarcoPerissa,Fratelli d'Italia,M
Pietrella Fabio,PietrellaFabio,Fratelli d'Italia,M
Polo Barbara,-----,Fratelli d'Italia,F
Pozzolo Emanuele,EmanuelePozzolo,Fratelli d'Italia,M
Prisco Emanuele,EmanuelePrisco,Fratelli d'Italia,M
Pulciani Paolo,-----,Fratelli d'Italia,M
Raimondo Carmine Fabio,fabiusrai,Fratelli d'Italia,M
Rampelli Fabio,fabiorampelli,Fratelli d'Italia,M
Rizzetto Walter,w_rizzetto,Fratelli d'Italia,M
Roccella Eugenia Maria,-----,Fratelli d'Italia,F
Roscani Fabio,FabioRoscani,Fratelli d'Italia,M
Rossi Angelo,-----,Fratelli d'Italia,M
