Name,Twitter-Handle,Party,Gender
Bizzotto Mara,marabizzotto,Lega,F
Bongiorno Giulia,gbongiorno66,Lega,F
Borghi Claudio,borghi_claudio,Lega,M
Borgonzoni Lucia,senborgonzoni,Lega,F
Calderoli Roberto,-----,Lega,M
Cantalamessa Gianluca,-----,Lega,M
Cantù Maria Cristina,MariaCr49183334,Lega,F
Centinaio Gian Marco,giamma71,Lega,M
Dreosto Marco,MarcoDreosto,Lega,M
Durigon Claudio,ClaudioDurigon,Lega,M
Garavaglia Massimo,massimogara,Lega,M
Germanà Antonino,Nino_Germana,Lega,M
Marti Roberto,RobertoMarti74,Lega,M
Minasi Tilde,TildeMinasi,Lega,F
Morelli Alessandro,AMorelliMilano,Lega,M
Murelli Elena,MurelliElena,Lega,F
Ostellari Andrea,AndreaOstellari,Lega,M
Paganella Andrea,-----,Lega,M
Pirovano Daisy,DaisyPirovano,Lega,F
Potenti Manfredi,ManfrediPotenti,Lega,M
Pucciarelli Stefania,PucciarelliLega,Lega,F
Salvini Matteo,matteosalvinimi,Lega,M
Spelgatti Nicoletta,-----,Lega,F
Stefani Erika,erikastefani71,Lega,F
Testor Elena,TestorElena,Lega,F
Tosato Paolo,PaoloTosato3,Lega,M
Floridia Barbara,FloridiaBarbara,Movimento 5s,F
Maiorino Alessandra,MaiorinoM5S,Movimento 5s,F
Di Girolamo Gabriella,GabriDiGirolamo,Movimento 5s,F
Nave Luigi,luinave,Movimento 5s,M
Pirro Elisa,pirroelisa,Movimento 5s,F
Aloisio Vincenza,-----,Movimento 5s,F
Bevilacqua Dolores,-----,Movimento 5s,F
Bilotti Anna,bilotti_anna,Movimento 5s,F
Castellone Maria Domenica,MariaDomenicaC4,Movimento 5s,F
Castiello Francesco,-----,Movimento 5s,M
Cataldi Roberto,-----,Movimento 5s,M
Croatti Marco,CroattiMarco,Movimento 5s,M
Damante Concetta,-----,Movimento 5s,F
De Rosa Raffaele,-----,Movimento 5s,M
Guidolin Barbara,GuidolinBarbara,Movimento 5s,F
Licheri Ettore Antonio,ettore_licheri,Movimento 5s,M
Licheri Sabrina,sabrinalicheri,Movimento 5s,F
Lopreiato Ada,avvada,Movimento 5s,F
Lorefice Pietro,-----,Movimento 5s,M
Marton Bruno,Marton_Bruno,Movimento 5s,M
Mazzella Orfeo,MazzellaOrfeo,Movimento 5s,M
Naturale Gisella,GisellaNaturale,Movimento 5s,F
Patuanelli Stefano,SPatuanelli,Movimento 5s,M
Pirondini Luca,Lpirondini81,Movimento 5s,M
Scarpinato Roberto Maria Ferdinando,-----,Movimento 5s,M
Sironi Elena,-----,Movimento 5s,F
Trevisi Antonio Salvatore,TonyTrevisi,Movimento 5s,M
Turco Mario,marioturco_m5s,Movimento 5s,M
Malpezzi Simona Flavia,SimonaMalpezzi,Partito Democratico,F
Alfieri Alessandro,ale_alfieri,Partito Democratico,M
Lorenzin Beatrice,BeaLorenzin,Partito Democratico,F
Mirabelli Franco,FraMirabelli,Partito Democratico,M
Basso Lorenzo,lorenzobasso,Partito Democratico,M
D'Elia Cecilia,ceciliadelia,Partito Democratico,F
Zampa Sandra,szampa56,Partito Democratico,F
Irto Nicola,nicoirto,Partito Democratico,M
Misiani Antonio,antoniomisiani,Partito Democratico,M
Astorre Bruno,BrunoAstorre,Partito Democratico,M
Bazoli Alfredo,alfredobazoli,Partito Democratico,M
Boccia Francesco,-----,Partito Democratico,M
Borghi Enrico,EnricoBorghi1,Partito Democratico,M
Camusso Susanna Lina Giulia,SusannaCamusso,Partito Democratico,F
Casini Pier Ferdinando,Pierferdinando,Partito Democratico,M
Cottarelli Carlo,CottarelliCPI,Partito Democratico,M
Crisanti Andrea,CrisantiEuropa,Partito Democratico,M
Delrio Graziano,graziano_delrio,Partito Democratico,M
Fina Michele,michelefina,Partito Democratico,M
Franceschelli Silvio,-----,Partito Democratico,M
Franceschini Dario,dariofrance,Partito Democratico,M
Furlan Annamaria,FurlanAnnamaria,Partito Democratico,F
Giacobbe Francesco,sengiacobbe,Partito Democratico,M
Giorgis Andrea,giorgis65,Partito Democratico,M
La Marca Francesca,FrancescaLaMar,Partito Democratico,F
Losacco Alberto,albertolosacco,Partito Democratico,M
Manca Daniele,mancaimola,Partito Democratico,M
Martella Andrea,andreamartella,Partito Democratico,M
Meloni Marco,MarcoMeloni,Partito Democratico,M
Nicita Antonio,AntonioNicita,Partito Democratico,M
Parrini Dario,DarioParrini,Partito Democratico,M
Rando Vincenza,-----,Partito Democratico,F
Rojc Tatjana,tatjana_rojc,Partito Democratico,F
Rossomando Anna,RossomandoPd,Partito Democratico,F
Valente Valeria,ValeriaValente_,Partito Democratico,F
Verducci Francesco,cescverducci,Partito Democratico,M
Verini Walter,VeriniWalter,Partito Democratico,M
Zambito Ylenia,YleniaZambito,Partito Democratico,F
